,index,SALE TYPE,PROP_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT,YR_BUILT,DAYS ON MARKET,PRICE_SQFT,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
13,13,MLS Listing,Condo/Co-op,10803 Seaview Ave Unit 44A,Canarsie,NY,11236.0,224900.0,0.0,1.0,Seaview Estates,409.0,0.0,1989.0,177.0,549.8777506112469,222.0,Active,https://www.redfin.com/NY/Brooklyn/10803-Seaview-Ave-11236/unit-44A/home/40895003,OneKey® MLS as Distributed by MLS Grid,3500316,N,Y,40.639362,-73.881545,51.4451391619304,4127.48880520222,2500.72153174351,18.0,18.0,2.0,0.0
14,14,MLS Listing,Condo/Co-op,10849 Seaview Ave Unit 29B,Brooklyn,NY,11236.0,329000.0,1.0,1.0,Brooklyn,553.0,0.0,1989.0,252.0,594.9367088607595,0.0,Active,https://www.redfin.com/NY/Brooklyn/10849-Seaview-Ave-11236/unit-29B/home/40894919,BNYMLS,474711,N,Y,40.639982,-73.881744,97.95532554332061,4059.1672422644497,2442.87159950516,18.0,18.0,3.0,0.0
15,15,MLS Listing,Multi-Family,1410 E 100th St,Brooklyn,NY,11236.0,616000.0,6.0,2.0,Brooklyn,1600.0,2000.0,1960.0,165.0,385.0,0.0,Active,https://www.redfin.com/NY/Brooklyn/1410-E-100th-St-11236/home/40896250,OneKey® MLS as Distributed by MLS Grid,H6267558,N,Y,40.6365875,-73.8891681,385.459553933941,3734.96609775492,2043.03009840035,18.0,18.0,5.0,7.0
16,16,MLS Listing,Single Family Residential,1780 E 93rd St,Brooklyn,NY,11236.0,699999.0,3.0,1.5,Brooklyn,1800.0,2100.0,1965.0,166.0,388.8883333333333,0.0,Active,https://www.redfin.com/NY/Brooklyn/1780-E-93rd-St-11236/home/40897017,BNYMLS,476621,N,Y,40.6301581,-73.889879,118.569143237722,4417.6323713027505,2762.57512509924,18.0,18.0,3.0,2.0
17,17,MLS Listing,Single Family Residential,10560 Flatlands 2nd St,Canarsie,NY,11236.0,769000.0,4.0,2.5,Canarsie,2000.0,2000.0,1960.0,18.0,384.5,0.0,Active,https://www.redfin.com/NY/Brooklyn/10560-Flatlands-2nd-St-11236/home/40892895,OneKey® MLS as Distributed by MLS Grid,3528706,N,Y,40.6456288,-73.889949,1208.16819757657,2850.11678412777,1285.72595631462,18.0,18.0,4.0,0.0
18,18,MLS Listing,Multi-Family,1495 E 95th St,Brooklyn,NY,11236.0,760000.0,3.0,3.0,Brooklyn,1656.0,2510.0,1957.223290965304,131.0,458.93719806763283,0.0,Active,https://www.redfin.com/NY/Brooklyn/1495-E-95th-St-11236/home/40895413,BNYMLS,477435,N,Y,40.6359565,-73.8946343,658.2259857449809,3417.25922398311,1762.98792652766,18.0,18.0,4.0,7.0
19,19,MLS Listing,Multi-Family,1688 Rockaway Pkwy,Canarsie,NY,11236.0,699000.0,4.0,2.0,Canarsie,1548.0,1588.0,1920.0,157.0,451.5503875968992,0.0,Active,https://www.redfin.com/NY/Brooklyn/1688-Rockaway-Pkwy-11236/home/187480118,OneKey® MLS as Distributed by MLS Grid,3504442,N,Y,40.6399989,-73.896954,1303.98788336115,2787.47404078906,1118.18075776649,18.0,18.0,7.0,6.0
20,20,MLS Listing,Single Family Residential,1478 E 93rd St,Brooklyn,NY,11236.0,505000.0,2.0,2.0,Brooklyn,1000.0,2174.0,1920.0,130.0,505.0,0.0,Active,https://www.redfin.com/NY/Brooklyn/1478-E-93rd-St-11236/home/40893867,BNYMLS,477487,N,Y,40.6355711,-73.897191,753.857046725786,3309.07663164358,1706.6191893605,18.0,18.0,4.0,8.0
21,21,MLS Listing,Single Family Residential,1478 E 93rd St,Brooklyn,NY,11236.0,505000.0,2.0,2.0,Brooklyn,1000.0,2174.0,1920.0,130.0,505.0,0.0,Active,https://www.redfin.com/NY/Brooklyn/1478-E-93rd-St-11236/home/40893867,BNYMLS,477487,N,Y,40.6355711,-73.897191,753.857046725786,3309.07663164358,1706.6191893605,18.0,18.0,4.0,8.0
24,25,MLS Listing,Condo/Co-op,1366 E 92nd St #200,Brooklyn,NY,11236.0,250000.0,1.0,1.0,Brooklyn,440.0,0.0,1990.0,160.0,568.1818181818181,0.0,Active,https://www.redfin.com/NY/Brooklyn/1366-E-92nd-St-11236/unit-200/home/40892955,BNYMLS,476783,N,Y,40.6372377,-73.9003756,1170.06763224899,2923.01871164052,1391.14080438241,18.0,18.0,5.0,6.0
25,26,MLS Listing,Multi-Family,8421 Avenue N,Brooklyn,NY,11236.0,725000.0,3.0,3.0,Brooklyn,1840.0,2000.0,1955.0,139.0,394.0217391304348,0.0,Active,https://www.redfin.com/NY/Brooklyn/8421-Avenue-N-11236/home/40888986,BNYMLS,477123,N,Y,40.6297465,-73.9008896,370.465512894938,3912.80843597541,2482.59027389335,18.0,18.0,1.0,0.0
26,27,MLS Listing,Single Family Residential,Withheld E Withheld St,Brooklyn,NY,11234.0,1499000.0,0.0,0.0,Brooklyn,2456.0,4867.0,1970.0,47.0,610.342019543974,0.0,Active,https://www.redfin.com/NY/Brooklyn/Undisclosed-address-11236/home/113072144,BNYMLS,476714,N,Y,40.6387196,-73.8948295,1054.43832265314,3081.93108893235,1402.05115323211,18.0,18.0,5.0,7.0
27,28,MLS Listing,Multi-Family,1280 E 100th St,Canarsie,NY,11236.0,1100000.0,6.0,4.5,Canarsie,1820.9035045607297,1860.0,2007.0,168.0,604.0957125102361,0.0,Active,https://www.redfin.com/NY/Brooklyn/1280-E-100th-St-11236/home/40672442,OneKey® MLS as Distributed by MLS Grid,3501829,N,Y,40.6387597,-73.8914534,739.830671327053,3329.14509450238,1637.30308847695,18.0,18.0,5.0,8.0
28,29,MLS Listing,Multi-Family,10214 Farragut Rd,Canarsie,NY,11236.0,925000.0,6.0,3.0,Canarsie,1820.9035045607297,2264.0,1930.0,275.0,507.9895764290622,0.0,Active,https://www.redfin.com/NY/Brooklyn/10214-Farragut-Rd-11236/home/40891229,OneKey® MLS as Distributed by MLS Grid,3479519,N,Y,40.6491437,-73.8996513,878.017789732415,1656.33030587906,210.526807301491,18.0,18.0,7.0,1.0
29,30,MLS Listing,Multi-Family,1308 E 85 St,Canarsie,NY,11236.0,799000.0,4.0,2.0,Canarsie,1540.0,2000.0,1955.0,110.0,518.8311688311688,0.0,Active,https://www.redfin.com/NY/Brooklyn/1308-E-85th-St-11236/home/40889403,OneKey® MLS as Distributed by MLS Grid,3513865,N,Y,40.6309744,-73.902397,616.399306945092,3688.96916160673,2300.98436279553,18.0,18.0,1.0,0.0
30,31,MLS Listing,Multi-Family,1429 E 89th St,New York,NY,11236.0,899999.0,5.0,2.0,New York,1984.0,2392.0,1960.0,52.0,453.62852822580646,0.0,Active,https://www.redfin.com/NY/Brooklyn/1429-E-89th-St-11236/home/40889683,BNYMLS,478919,N,Y,40.6310972,-73.8968121,226.936974936128,3905.8466425597294,2350.06314617527,18.0,18.0,4.0,4.0
31,32,MLS Listing,Multi-Family,1904 Rockaway Pkwy,Brooklyn,NY,11236.0,895000.0,5.0,2.0,Brooklyn,1896.0,2167.0,1920.0,23.0,472.0464135021097,0.0,Active,https://www.redfin.com/NY/Brooklyn/1904-Rockaway-Pkwy-11236/home/40895358,BNYMLS,479518,N,Y,40.6358253,-73.8923606,604.006791757879,3584.8865106429,1907.76936320583,18.0,18.0,5.0,7.0
32,33,MLS Listing,Multi-Family,1346 E 99th St,Brooklyn,NY,11236.0,799000.0,3.0,3.0,Brooklyn,1820.9035045607297,2000.0,1960.0,61.0,438.79315845061694,0.0,Active,https://www.redfin.com/NY/Brooklyn/1346-E-99th-St-11236/home/40895326,BNYMLS,478834,N,Y,40.6371623,-73.8910285,605.4493261327831,3531.83509064606,1841.24491563229,18.0,18.0,5.0,7.0
33,34,MLS Listing,Single Family Residential,1324 Ea 101 St,Brooklyn,NY,11236.0,780000.0,3.0,2.0,Brooklyn,1320.0,4150.0,1955.0,656.0,590.9090909090909,0.0,Active,https://www.redfin.com/NY/Brooklyn/1324-E-101st-St-11236/home/40895660,BNYMLS,462292,N,Y,40.6384339,-73.8899834,576.388527729784,3478.9351249283,1788.65999889493,18.0,18.0,4.0,7.0
34,35,MLS Listing,Single Family Residential,10830 Avenue N,Canarsie,NY,11236.0,599777.0,3.0,1.5,Canarsie,1374.0,2121.0,1965.0,234.0,436.51892285298396,0.0,Active,https://www.redfin.com/NY/Brooklyn/10830-Avenue-N-11236/home/40895190,OneKey® MLS as Distributed by MLS Grid,3488312,N,Y,40.6410577,-73.8824972,271.269289785594,3904.2826674985504,2305.49165283757,18.0,18.0,3.0,0.0
35,36,MLS Listing,Single Family Residential,10557 Avenue K,Canarsie,NY,11236.0,699000.0,3.0,3.0,Canarsie,1820.9035045607297,2550.0,1965.0,92.0,383.87536640423184,0.0,Active,https://www.redfin.com/NY/Brooklyn/10557-Avenue-K-11236/home/40892883,OneKey® MLS as Distributed by MLS Grid,3517266,N,Y,40.64539,-73.8897652,1248.29586054456,2884.94614131681,1322.50007816494,18.0,18.0,4.0,0.0
36,37,MLS Listing,Single Family Residential,1543 East 98th St,Canarsie,NY,11236.0,750000.0,3.0,1.0,Canarsie,900.0,2642.0,1920.0,1.0,833.3333333333334,0.0,Active,https://www.redfin.com/NY/Brooklyn/1543-E-98th-St-11236/home/40896206,OneKey® MLS as Distributed by MLS Grid,3532313,N,Y,40.6359651,-73.8902246,498.870642934105,3722.24532755166,2033.1607645079,18.0,18.0,5.0,7.0
37,38,MLS Listing,Multi-Family,1514 E 98th St,Canarsie,NY,11236.0,850000.0,4.0,2.0,Canarsie,1820.9035045607297,1983.0,1960.0,118.0,466.80123239427337,0.0,Active,https://www.redfin.com/NY/Brooklyn/1514-E-98th-St-11236/home/40895388,OneKey® MLS as Distributed by MLS Grid,3512304,N,Y,40.6363741,-73.8914648,636.8519730833191,3586.29863646832,1900.23829128758,18.0,18.0,5.0,7.0
38,39,MLS Listing,Single Family Residential,1217 Ea 101 St,Brooklyn,NY,11236.0,720000.0,4.0,2.5,Brooklyn,936.0,2600.0,1960.0,118.0,769.2307692307693,0.0,Active,https://www.redfin.com/NY/Brooklyn/1217-E-101st-St-11236/home/40894602,BNYMLS,477759,N,Y,40.6404818,-73.8915337,902.039585022952,3147.34123964291,1462.46332571564,18.0,18.0,5.0,6.0
39,40,MLS Listing,Multi-Family,1170 E 102nd St,Canarsie,NY,11236.0,769000.0,4.0,2.5,Canarsie,1540.0,2000.0,1955.0,4.0,499.35064935064935,0.0,Active,https://www.redfin.com/NY/Brooklyn/1170-E-102nd-St-11236/home/40893297,OneKey® MLS as Distributed by MLS Grid,3531563,N,Y,40.6414077,-73.892062,1040.41066527907,3012.94808985098,1334.02934208783,18.0,18.0,5.0,6.0
40,41,MLS Listing,Multi-Family,1154 E 101 St,Brooklyn,NY,11236.0,699000.0,3.0,2.0,Brooklyn,1760.0,2000.0,1965.0,384.0,397.15909090909093,0.0,Active,https://www.redfin.com/NY/Brooklyn/1154-E-101st-St-11236/home/40893370,BNYMLS,471470,N,Y,40.6412007,-73.8930496,1097.36169229095,2951.82014806006,1264.83680029514,18.0,18.0,5.0,6.0
41,42,MLS Listing,Multi-Family,1419 E 98th St,Brooklyn,NY,11236.0,699000.0,4.0,2.0,Brooklyn,2100.0,2167.0,1925.0,41.0,332.85714285714283,0.0,Active,https://www.redfin.com/NY/Brooklyn/1419-E-98th-St-11236/home/40894670,BNYMLS,479094,N,Y,40.6384866,-73.8930611,882.030995114218,3236.01144335301,1546.91273799351,18.0,18.0,5.0,8.0
42,43,MLS Listing,Condo/Co-op,901 E 106th St Unit 1A,Canarsie,NY,11236.0,485000.0,3.0,2.0,Flatlands Gardens,1820.9035045607297,0.0,1910.0,172.0,266.3512914249677,0.0,Active,https://www.redfin.com/NY/Brooklyn/901-E-106th-St-11236/unit-1A/home/40892167,OneKey® MLS as Distributed by MLS Grid,3501091,N,Y,40.6479766,-73.8936697,779.078547870719,2323.8016080782,751.127038042659,18.0,18.0,4.0,0.0
43,44,MLS Listing,Single Family Residential,1645 E 92 St,Canarsie,NY,11236.0,635000.0,3.0,2.0,Canarsie,1200.0,2000.0,1925.0,175.0,529.1666666666666,0.0,Active,https://www.redfin.com/NY/Brooklyn/1645-E-92nd-St-11236/home/40895941,OneKey® MLS as Distributed by MLS Grid,3500483,N,Y,40.6322163,-73.894288,169.846986759712,3897.3390446712897,2279.16713634494,18.0,18.0,5.0,7.0
44,45,MLS Listing,Single Family Residential,625 E 57th St,Canarsie,NY,11236.0,689999.0,3.0,2.0,Canarsie,1820.9035045607297,1800.0,1960.0,304.0,378.93221594213674,0.0,Active,https://www.redfin.com/NY/Canarsie/625-E-57th-ST-11236/home/185179675,OneKey® MLS as Distributed by MLS Grid,3472590,N,Y,40.6387196,-73.8948295,1054.43832265314,3081.93108893235,1402.05115323211,18.0,18.0,5.0,7.0
45,46,MLS Listing,Single Family Residential,642 E 105th St,Brooklyn,NY,11236.0,645000.0,3.0,2.5,Brooklyn,1020.0,1751.0,1925.0,3.0,632.3529411764706,0.0,Active,https://www.redfin.com/NY/Brooklyn/642-E-105th-St-11236/home/40891183,OneKey® MLS as Distributed by MLS Grid,H6288051,N,Y,40.6495729,-73.8973731,664.1089532872329,1850.77328929229,277.131849252039,18.0,18.0,7.0,1.0
46,47,MLS Listing,Multi-Family,1319 E 96th St,Canarsie,NY,11236.0,679000.0,6.0,3.0,Canarsie,1820.9035045607297,1347.0,1920.0,62.0,372.89180799495483,0.0,Active,https://www.redfin.com/NY/Brooklyn/1319-E-96th-St-11236/home/21666701,OneKey® MLS as Distributed by MLS Grid,3521697,N,Y,40.6398004,-73.8974592,1298.73170294793,2776.34616099338,1117.9893800005,18.0,18.0,7.0,6.0
47,48,MLS Listing,Condo/Co-op,1364 E 92nd St #101,Brooklyn,NY,11236.0,399000.0,2.0,1.0,Brooklyn,1000.0,0.0,1965.0,336.0,399.0,0.0,Active,https://www.redfin.com/NY/Brooklyn/1364-E-92nd-St-11236/unit-101/home/40892956,BNYMLS,472588,N,Y,40.6372881,-73.9004449,1180.69500027178,2912.91282458256,1382.90549079477,18.0,18.0,5.0,6.0
49,50,MLS Listing,Single Family Residential,605 E 57th St,Brooklyn,NY,11234.0,680000.0,3.0,2.5,Brooklyn,1296.0,1800.0,1960.0,140.0,524.6913580246913,0.0,Active,https://www.redfin.com/NY/Brooklyn/605-E-57th-St-11234/home/40884921,BNYMLS,477229,N,Y,40.6381159,-73.9218484,2926.85447436545,2682.66834089256,2554.41096286196,18.0,18.0,8.0,1.0
50,51,MLS Listing,Multi-Family,162 E 59th St,East Flatbush,NY,11203.0,715000.0,5.0,2.0,East Flatbush,1820.9035045607297,2000.0,1930.0,58.0,392.66221313165346,0.0,Active,https://www.redfin.com/NY/Brooklyn/162-E-59th-St-11203/home/40774899,OneKey® MLS as Distributed by MLS Grid,3522229,N,Y,40.6501259,-73.9217565,2268.69376055777,1257.09251448275,1768.57831486693,18.0,18.0,14.0,2.0
51,52,MLS Listing,Multi-Family,5910 Snyder Ave,Brooklyn,NY,11203.0,849000.0,5.0,3.0,Brooklyn,1920.0,2000.0,1920.0,114.0,442.1875,0.0,Active,https://www.redfin.com/NY/Brooklyn/5910-Snyder-Ave-11203/home/40774965,BNYMLS,477843,N,Y,40.6505288,-73.921125,2186.29517999963,1165.75913188774,1689.62065096583,18.0,18.0,12.0,2.0
52,53,MLS Listing,Multi-Family,8807 Avenue A,Canarsie,NY,11236.0,639999.0,3.0,2.0,Canarsie,1820.9035045607297,2300.0,1940.0,184.0,351.4733199189442,0.0,Active,https://www.redfin.com/NY/Brooklyn/8807-Avenue-A-11236/home/40774478,OneKey® MLS as Distributed by MLS Grid,3496730,N,Y,40.6505277,-73.9195999,2113.29009813262,1029.02424679436,1644.02031301448,18.0,18.0,12.0,1.0
53,54,MLS Listing,Townhouse,267 Dorset St,Canarsie,NY,11236.0,609900.0,2.0,1.0,Canarsie,979.0,1440.0,1945.0,60.0,622.9826353421859,0.0,Active,https://www.redfin.com/NY/Brooklyn/267-Dorset-St-11236/home/40883293,OneKey® MLS as Distributed by MLS Grid,3521956,N,Y,40.6461035,-73.9183178,2680.266511872,1453.72641042021,1834.96546693818,18.0,18.0,6.0,1.0
54,55,MLS Listing,Single Family Residential,552 E 80th St,Brooklyn,NY,11236.0,485000.0,2.0,1.5,Brooklyn,1960.0,3000.0,1970.0,160.0,247.44897959183675,0.0,Active,https://www.redfin.com/NY/Brooklyn/552-E-80th-St-11236/home/40884031,BNYMLS,476766,N,Y,40.6394034,-73.918266,2727.53613297626,2370.97296084607,2114.46684104484,18.0,18.0,6.0,2.0
55,56,MLS Listing,Single Family Residential,271 E 86th St,Brooklyn,NY,11236.0,635000.0,2.0,1.0,Brooklyn,1021.0,1600.0,1945.0,80.0,621.9392752203722,0.0,Active,https://www.redfin.com/NY/Brooklyn/271-E-86th-St-11236/home/40883268,BNYMLS,478516,N,Y,40.6464832,-73.917623,2606.99611388976,1369.78379992892,1756.02113842291,18.0,18.0,10.0,1.0
56,57,MLS Listing,Multi-Family,605 E 91 St,Brooklyn,NY,11236.0,849000.0,4.0,3.0,Brooklyn,2263.0,2650.0,1930.0,284.0,375.1657092355281,0.0,Active,https://www.redfin.com/NY/Brooklyn/605-E-91st-St-11236/home/40774401,BNYMLS,473977,N,Y,40.6521105,-73.9175082,1811.57574486443,702.725729967833,1377.19413335526,18.0,18.0,15.0,1.0
57,59,MLS Listing,Single Family Residential,719 E 83rd St,Brooklyn,NY,11236.0,545000.0,3.0,1.0,Brooklyn,900.0,2000.0,1930.0,72.0,605.5555555555555,0.0,Active,https://www.redfin.com/NY/Brooklyn/719-E-83rd-St-11236/home/40885609,BNYMLS,478681,N,Y,40.6380608,-73.9121096,2107.72470647798,2477.02189544506,1701.08468311657,18.0,18.0,7.0,2.0
58,60,MLS Listing,Single Family Residential,8505 Glenwood Rd,Brooklyn,NY,11236.0,600000.0,3.0,2.5,Brooklyn,1120.0,1800.0,1960.0,12.0,535.7142857142857,0.0,Active,https://www.redfin.com/NY/Brooklyn/8505-Glenwood-Rd-11236/home/40885213,BNYMLS,479743,N,Y,40.6396489,-73.9113077,2228.19712507822,2247.20976783459,1471.26613850987,18.0,18.0,6.0,2.0
59,61,MLS Listing,Single Family Residential,62 Paerdegat 2nd St,Canarsie,NY,11236.0,729000.0,3.0,2.5,Canarsie,1980.0,2600.0,1965.0,45.0,368.1818181818182,0.0,Active,https://www.redfin.com/NY/Brooklyn/62-Paerdegat-2nd-St-11236/home/40886775,OneKey® MLS as Distributed by MLS Grid,H6283215,N,Y,40.6327979,-73.9111077,1499.50398288466,3252.07623177631,2279.02004979749,18.0,18.0,8.0,0.0
60,63,MLS Listing,Multi-Family,921 E 84th St,Brooklyn,NY,11236.0,499000.0,6.0,3.0,Brooklyn,1820.9035045607297,1800.0,1957.223290965304,125.0,274.03978231146164,0.0,Active,https://www.redfin.com/NY/Brooklyn/921-E-84th-St-11236/home/40672463,BNYMLS,477602,N,Y,40.6370243,-73.909613,1812.90570363509,2647.30567943512,1656.0796615971,18.0,18.0,7.0,0.0
61,64,MLS Listing,Single Family Residential,64 E Nolan Ln,Canarsie,NY,11236.0,299777.0,3.0,1.0,Canarsie,1820.9035045607297,4500.0,1935.0,108.0,164.63090946289185,0.0,Active,https://www.redfin.com/NY/Brooklyn/64-Nolans-Ln-11236/home/183320328,OneKey® MLS as Distributed by MLS Grid,3514403,N,Y,40.6469657,-73.9092129,1923.04823706862,1223.52738143164,820.9090817178179,18.0,18.0,4.0,2.0
62,65,MLS Listing,Single Family Residential,1123 E 82nd St,Brooklyn,NY,11236.0,670000.0,4.0,2.5,Brooklyn,1680.0,1600.0,1960.0,487.0,398.8095238095238,0.0,Active,https://www.redfin.com/NY/Brooklyn/1123-E-82nd-St-11236/home/40887858,BNYMLS,467537,N,Y,40.6328285,-73.9074377,1188.94590901236,3291.3339006033,2121.45102920922,18.0,18.0,4.0,0.0
63,66,MLS Listing,Single Family Residential,26 Durland,Canarsie,NY,11236.0,460000.0,3.0,3.0,Canarsie,2256.0,2256.0,1920.0,186.0,203.90070921985816,0.0,Active,https://www.redfin.com/NY/Brooklyn/26-Durland-Pl-11236/home/40891318,OneKey® MLS as Distributed by MLS Grid,3462202,N,Y,40.641648,-73.9064568,2101.3317515288,2060.30557989315,895.758255307044,18.0,18.0,4.0,3.0
65,68,MLS Listing,Multi-Family,927 E 96th St,Canarsie,NY,11236.0,849000.0,7.0,3.0,Canarsie,1820.9035045607297,1979.0,1965.0,1.0,466.2520544738095,0.0,Active,https://www.redfin.com/NY/Brooklyn/927-E-96th-St-11236/home/40890547,OneKey® MLS as Distributed by MLS Grid,3454051,N,Y,40.64753,-73.9059555,1573.08461930876,1303.9402407931,474.75014937042096,18.0,18.0,3.0,1.0
66,69,MLS Listing,Multi-Family,1146 E 84th St,Brooklyn,NY,11236.0,865000.0,4.0,3.0,Brooklyn,1802.0,2142.0,1955.0,11.0,480.0221975582686,0.0,Active,https://www.redfin.com/NY/Brooklyn/1146-E-84th-St-11236/home/40887559,BNYMLS,479768,N,Y,40.6331196,-73.9059109,1109.70228267648,3282.52219198282,2036.32372813594,18.0,18.0,4.0,0.0
67,70,PAST SALE,Unknown,1176 E 92nd St,Brooklyn,NY,11236.0,459000.0,0.0,0.0,Brooklyn,1820.9035045607297,1250.0,1957.223290965304,41.0,252.07266549290762,0.0,Pending,https://www.redfin.com/NY/Brooklyn/1176-E-92nd-St-11236/home/184245847,BNYMLS,478987,N,Y,40.640754,-73.904567,1865.24423325598,2257.68179760393,916.907165353331,18.0,18.0,4.0,2.0
68,71,MLS Listing,Single Family Residential,1057 E 95th St,Canarsie,NY,11236.0,550000.0,2.0,1.5,Canarsie,1820.9035045607297,4000.0,1930.0,300.0,302.04785625511806,0.0,Active,https://www.redfin.com/NY/Brooklyn/1057-E-95th-St-11236/home/40890871,OneKey® MLS as Distributed by MLS Grid,3473361,N,Y,40.6446781,-73.904418,1717.68536454383,1749.56529041868,407.134000784419,18.0,18.0,7.0,2.0
69,72,MLS Listing,Multi-Family,938 E 89th St,Brooklyn,NY,11236.0,850000.0,5.0,3.0,Brooklyn,1756.0,2183.0,1930.0,397.0,484.05466970387243,0.0,Active,https://www.redfin.com/NY/Brooklyn/938-E-89th-St-11236/home/40886540,BNYMLS,471186,N,Y,40.6389123,-73.9061405,1773.03355048817,2453.47150985091,1232.10424624808,18.0,18.0,6.0,1.0
