Unnamed: 0,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
29,Vacant Land,8229 Gould Ave,Los Angeles,90046.0,179500.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-355027,34.107832,-118.370201,4395.0,4417.34667946086,3623.0,2.0,1.0
30,Vacant Land,4560 San Andreas,Mount Washington,90065.0,225000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,IV24026026,34.1097809,-118.2162018,668.0,5001.7339530218305,1876.0,0.0,0.0
31,Vacant Land,451 Clifton St,Los Angeles,90031.0,99900.0,677 - Lincoln Hts,3224.438915857605,1962.9763313609467,DW24025747,34.0792151,-118.2089041,2330.0,1098.330254968,1178.0,30.0,9.0
32,Vacant Land,8500 Appian Way,Hollywood Hills,90064.0,149000.0,C03 - Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,AR24025707,34.107267,-118.378608,4086.0,4182.211868426671,4525.0,0.0,0.0
35,Vacant Land,1922 Seigneur Ave,Los Angeles,90032.0,120000.0,621 - El Sereno,3224.438915857605,1962.9763313609467,SB24015406,34.0651448,-118.1775887,4062.0,2700.36292420593,4403.0,22.0,0.0
36,Vacant Land,3738 Brillant,Mount Washington,90065.0,279000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24022506,34.111813,-118.226788,1647.0,4051.7897593252496,2884.0,0.0,1.0
37,Vacant Land,572 Milton Ct,Mount Washington,90065.0,249000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24022492,34.1045791,-118.2105236,1028.0,4324.40694885664,951.0,5.0,0.0
38,Vacant Land,3745 N Parrish,Mount Washington,90065.0,279000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24024162,34.10885,-118.223423,1400.0,4584.0014985511,2343.0,0.0,0.0
39,Vacant Land,576 Milton Ct,Mount Washington,90065.0,249000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24022455,34.1045299,-118.210625,1033.0,4316.63414699216,950.0,5.0,0.0
42,Mobile/Manufactured Home,1065 W Lomita Blvd #251,Harbor City,90710.0,215000.0,124 - Harbor City,1152.0,1972.0,IG24023940,33.7995986,-118.2957052,4361.0,1444.42861994243,11416.0,6.0,0.0
46,Vacant Land,2931 Thomas St,Los Angeles,90031.0,220000.0,677 - Lincoln Hts,3224.438915857605,1962.9763313609467,PW24023934,34.080083,-118.206105,2178.0,1387.6980915477,1244.0,31.0,4.0
47,Vacant Land,14728 Friar St,Van Nuys,91411.0,1.0,East Van Nuys,3224.438915857605,1962.9763313609467,24-354247,34.185429,-118.4541175,3967.0,1528.61433964108,8902.0,31.0,3.0
48,Vacant Land,3909 Dobinson St,Los Angeles,90063.0,150000.0,East LA,3224.438915857605,1962.9763313609467,24-353755,34.0485665,-118.1820647,3391.0,1556.98957154163,2222.0,22.0,0.0
49,Vacant Land,2612 N Paradise Dr,Los Angeles,90032.0,39000.0,El Sereno,3224.438915857605,1962.9763313609467,24-353779,34.0764799,-118.19816,2772.0,1912.29733754133,2212.0,22.0,0.0
50,Vacant Land,4325 E Raynol St,Los Angeles,90032.0,275000.0,621 - El Sereno,3224.438915857605,1962.9763313609467,PI24019307,34.0836675,-118.194108,2094.0,2731.75610420585,2179.0,22.0,0.0
51,Vacant Land,614 Beech St,Los Angeles,90065.0,69000.0,Mt Washington,3224.438915857605,1962.9763313609467,24-353627,34.093279,-118.218904,1580.0,2819.81473706929,1031.0,14.0,0.0
52,Vacant Land,2740 N Paradise Dr,Los Angeles,90032.0,99000.0,El Sereno,3224.438915857605,1962.9763313609467,24-353735,34.079189,-118.19807,2428.0,2051.06412344088,2002.0,22.0,0.0
53,Vacant Land,3777 Cazador St,Los Angeles,90065.0,299000.0,Glassell Park,3224.438915857605,1962.9763313609467,24-353481,34.1109984,-118.2253821,1512.0,4242.6564016259,2694.0,0.0,0.0
58,Vacant Land,1241 Dodds Cir,Los Angeles,90063.0,175000.0,City Terrace,3224.438915857605,1962.9763313609467,24-353003,34.052651,-118.191493,2542.0,1688.20150429346,2388.0,22.0,1.0
59,Vacant Land,0 Earl Ct,Los Angeles,90039.0,148900.0,671 - Silver Lake,3224.438915857605,1962.9763313609467,V1-21734,34.095454,-118.25594,2016.0,2788.58499903026,3998.0,24.0,5.0
60,Vacant Land,0 Bentley Ave S,Los Angeles,90064.0,50000.0,RPRK - Rancho Park,3224.438915857605,1962.9763313609467,IN24016012,34.0736161,-118.4583135,1772.0,1647.29175589473,5663.0,15.0,7.0
62,Vacant Land,0 N Montalvo St,Los Angeles,90065.0,95000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24015842,34.09424,-118.21569,1202.0,2911.75770617862,982.0,13.0,2.0
63,Vacant Land,3756 Parrish Ave,Glassell Park,90065.0,37999.0,623 - Glassel Park,3224.438915857605,1962.9763313609467,PW24015685,34.1116869,-118.2260859,1572.0,4126.85032266261,2813.0,0.0,0.0
64,Vacant Land,3551 The Paseo,Los Angeles,90065.0,99950.0,Glassell Park,3224.438915857605,1962.9763313609467,24-351653,34.112335,-118.230928,1660.0,3630.74378124984,3294.0,14.0,1.0
67,Vacant Land,4582 San Andreas,Mount Washington,90065.0,150000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,IV24014714,34.1097896,-118.2160687,657.0,5002.42481585524,1869.0,0.0,0.0
69,Vacant Land,1001 N Eastman,City Terrace,90063.0,49900.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,PW24014197,34.0478638,-118.1861545,2927.0,1650.94062583213,1941.0,22.0,0.0
70,Vacant Land,945 Miller Ave,City Terrace,90063.0,185000.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,BB24003165,34.0475493,-118.1784458,3772.0,1366.6500589623,2229.0,19.0,0.0
71,Condo/Co-op,11813 Runnymede St #2,North Hollywood,91605.0,299995.0,NHO - North Hollywood,750.0,1970.0,SR24012284,34.2058578,-118.3908301,3788.0,4655.81020104743,5263.0,28.0,2.0
72,Mobile/Manufactured Home,1501 Palos Verdes Drive North #35,Harbor City,90710.0,215000.0,124 - Harbor City,800.0,1968.0,SB24011956,33.78057,-118.300343,4669.0,1217.76201593287,11923.0,4.0,3.0
75,Vacant Land,1 Whittier Blvd,East Los Angeles,90023.0,100000.0,ELA - East Los Angeles,3224.438915857605,1962.9763313609467,MB24009564,34.0235252,-118.1867574,3997.0,246.762304225363,1568.0,27.0,0.0
76,Vacant Land,4226 N Pueblo Ave,Los Angeles,90032.0,59000.0,El Sereno,3224.438915857605,1962.9763313609467,24-348195,34.0980344,-118.1732308,1180.0,3423.42563389538,2788.0,0.0,0.0
77,Vacant Land,4212 N Locke Ave,Los Angeles,90032.0,69000.0,El Sereno,3224.438915857605,1962.9763313609467,24-348187,34.0925923,-118.1777388,1003.0,3772.9969692662494,2997.0,9.0,2.0
78,Vacant Land,3926 N Locke Ave,Los Angeles,90032.0,59000.0,El Sereno,3224.438915857605,1962.9763313609467,24-348186,34.0918206,-118.17836,1039.0,3834.6154962603296,3047.0,12.0,2.0
81,Vacant Land,4400 S RAMONA,City Terrace,90063.0,235000.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,TR24006635,34.06079,-118.170548,4347.0,3265.57581195466,3700.0,18.0,0.0
82,Vacant Land,0 Kings Way,Los Angeles,90069.0,170000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-345773,34.101321,-118.375275,4932.0,3434.52283800305,4088.0,6.0,2.0
83,Vacant Land,3116 N Lincoln Park Ave,Los Angeles,90031.0,69000.0,Lincoln Heights,3224.438915857605,1962.9763313609467,24-345537,34.0820261,-118.202296,1941.0,1873.36348907891,1401.0,17.0,0.0
84,Vacant Land,8421 Cole Crest Dr,Los Angeles,90046.0,134000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-344739,34.1026167,-118.3741091,4885.0,3631.13353081954,3961.0,5.0,3.0
85,Vacant Land,8435 Grand View Dr,Los Angeles,90046.0,144000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-344741,34.102499,-118.374228,4888.0,3612.87228254888,3973.0,5.0,2.0
86,Vacant Land,8441 Grand View Dr,Los Angeles,90046.0,190000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-344745,34.102541,-118.374362,4874.0,3615.2971902303902,3988.0,4.0,2.0
87,Vacant Land,0 Kewanee St,El Sereno,90032.0,53288.0,621 - El Sereno,3224.438915857605,1962.9763313609467,SR24001451,34.080261,-118.189303,2472.0,2801.85524016091,2821.0,18.0,0.0
88,Vacant Land,0 AKA Dominion,Los Angeles,90046.0,175000.0,C03 - Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,CV24002736,34.118051,-118.374331,3226.0,5672.758921357849,3223.0,4.0,0.0
89,Vacant Land,0 Randolph Ave,El Sereno,90032.0,89000.0,621 - El Sereno,3224.438915857605,1962.9763313609467,TR24001925,34.087437,-118.181566,1453.0,4073.4853944234305,3153.0,17.0,2.0
92,Vacant Land,5894 Lorae Pl,Los Angeles,90068.0,139000.0,C30 - Hollywood Hills East,3224.438915857605,1962.9763313609467,OC24002026,34.1177994,-118.3178051,1525.0,2984.95080696248,2323.0,0.0,0.0
93,Vacant Land,2457 N Bushrod Ln,Los Angeles,90077.0,37500.0,Bel Air - Holmby Hills,3224.438915857605,1962.9763313609467,24-343155,34.11483,-118.44896,757.0,6113.0065709215105,10181.0,0.0,0.0
94,Vacant Land,2455 N Bushrod Ln,Los Angeles,90077.0,75000.0,Bel Air - Holmby Hills,3224.438915857605,1962.9763313609467,24-343123,34.11474,-118.44893,750.0,6125.13944741657,10182.0,0.0,0.0
95,Vacant Land,3332 Isabel Dr,Los Angeles,90065.0,180000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,P1-16078,34.103698,-118.229608,2345.0,4301.84078332584,2652.0,16.0,0.0
96,Vacant Land,8636 S Vermont Ave,Los Angeles,90044.0,249950.0,Metropolitan Southwest,3224.438915857605,1962.9763313609467,24-342606,33.959285,-118.2912899,701.0,6443.41515894016,4106.0,25.0,1.0
97,Vacant Land,8353 Wyndham Rd,Los Angeles,90046.0,40000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,23-341657,34.1109993,-118.3747844,4060.0,4726.8047482394495,4125.0,2.0,1.0
98,Vacant Land,8365 Wyndham Rd,Los Angeles,90046.0,40000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,23-341629,34.1113229,-118.374735,4038.0,4770.64888446064,4082.0,2.0,1.0
99,Condo/Co-op,15425 Sherman Way #140,Van Nuys,91409.0,285000.0,VN - Van Nuys,420.0,1976.0,DW23230509,34.2015091,-118.4695222,2459.0,1153.81371230567,11235.0,18.0,2.0
100,Multi-Family,9703 S Normandie Ave,Los Angeles,90044.0,499999.0,699 - Not Defined,1360.0,1949.0,SR24024834,33.9475848,-118.3006514,2054.0,5316.8066179486095,2723.0,27.0,0.0
105,Condo/Co-op,3630 Kalsman Dr #4,Los Angeles,90016.0,499000.0,Park Hills Heights,867.0,1949.0,24-352643,34.020321,-118.374463,1233.0,2460.98055187503,851.0,10.0,11.0
106,Vacant Land,596 Frontenac Ave,Los Angeles,90065.0,398000.0,Mt Washington,3224.438915857605,1962.9763313609467,24-354171,34.10274,-118.213722,1249.0,4053.6935171826094,987.0,0.0,0.0
107,Condo/Co-op,8787 Shoreham Dr Unit B5,West Hollywood,90069.0,449000.0,C03 - Sunset Strip - Hollywood Hills West,304.0,1963.0,SR24022872,34.0927247,-118.3828802,5460.0,2227.92561992716,5075.0,29.0,0.0
108,Condo/Co-op,9054 Willis Ave #28,Panorama City,91402.0,359900.0,PC - Panorama City,1031.0,1977.0,SR24018764,34.2345835,-118.4547486,2649.0,1334.18217612228,12425.0,20.0,9.0
109,Condo/Co-op,950 N Kings Rd #125,West Hollywood,90069.0,499500.0,West Hollywood Vicinity,454.0,1973.0,24-354007,34.0884904,-118.3712751,5845.0,1975.20320634558,4043.0,30.0,3.0
112,Vacant Land,4946 Hartwick St,Los Angeles,90041.0,475000.0,Eagle Rock,3224.438915857605,1962.9763313609467,24-353637,34.136927,-118.197214,3538.0,4053.82940285632,3500.0,22.0,11.0
115,Condo/Co-op,13543 Moorpark St #8,Sherman Oaks,91423.0,488000.0,SO - Sherman Oaks,670.0,1967.0,WS24021818,34.1507289,-118.4282818,3960.0,2686.4937474179,6208.0,18.0,3.0
117,Condo/Co-op,15015 Sherman Way #103,Van Nuys,91405.0,469999.0,VN - Van Nuys,1128.0,1986.0,SR24015836,34.2015437,-118.4601026,1903.0,964.064338684521,10283.0,18.0,2.0
118,Single Family Residential,816 W 62nd St,Los Angeles,90044.0,449999.0,699 - Not Defined,1240.0,1922.0,RS24017430,33.9834936,-118.2878572,1677.0,6176.606566735791,4669.0,34.0,6.0
122,Single Family Residential,1246 E 35th St,Los Angeles,90011.0,500000.0,699 - Not Defined,1278.0,1906.0,IG24013446,34.0118034,-118.2530049,753.0,3140.92919271748,1526.0,35.0,3.0
123,Vacant Land,1537 killarney,Los Angeles,90065.0,350000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,AR24006272,34.101012,-118.2274326,2385.0,4075.03576068716,2336.0,15.0,0.0
124,Vacant Land,619 Quail Dr,Los Angeles,90065.0,350000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,AR24016559,34.1035265,-118.2118946,1092.0,4169.59809577106,915.0,1.0,0.0
127,Vacant Land,0 Kings Rd,West Hollywood,90069.0,349000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,24-352093,34.10177,-118.374293,4956.0,3515.55696066855,3979.0,5.0,2.0
128,Single Family Residential,822 N Gage,City Terrace,90063.0,399900.0,CTER - City Terrace,1100.0,1924.0,DW24016475,34.0454336,-118.1843705,3094.0,1268.79082204917,1730.0,26.0,0.0
129,Condo/Co-op,243 S Avenue 50 St #207,Los Angeles,90042.0,475000.0,Highland Park,673.0,1984.0,24-351673,34.1033076,-118.199905,530.0,4444.34284400384,1018.0,14.0,4.0
130,Single Family Residential,322 W 63rd Pl,Los Angeles,90003.0,409900.0,C34 - Los Angeles Southwest,626.0,1925.0,PW24002702,33.9817033,-118.279259,1750.0,6225.55876420891,4102.0,38.0,4.0
131,Single Family Residential,611 W 91st St,Los Angeles,90044.0,469900.0,C34 - Los Angeles Southwest,884.0,1926.0,PW24002764,33.9543789,-118.2851168,320.0,6272.61306146458,3472.0,32.0,1.0
134,Single Family Residential,129 E 74th St,Los Angeles,90003.0,469000.0,Metropolitan South,964.0,1923.0,24-351391,33.9732655,-118.272873,1738.0,5850.91568321902,3295.0,31.0,3.0
135,Condo/Co-op,200 N San Fernando Rd #403,Los Angeles,90031.0,489000.0,Lincoln Heights,930.0,1925.0,24-350027,34.0766598,-118.222372,2679.0,1015.41889265264,615.0,21.0,6.0
136,Townhouse,9216 Tobias Ave #2,Panorama City,91402.0,495000.0,PC - Panorama City,1276.0,1992.0,SR24004136,34.2378322,-118.4512607,3107.0,1915.55437386925,12480.0,28.0,9.0
137,Single Family Residential,2118 E 92nd St,Los Angeles,90002.0,439000.0,Metropolitan South,636.0,1910.0,24-349519,33.9530385,-118.2344339,2024.0,4066.9443828975104,1315.0,8.0,0.0
142,Vacant Land,4631-4637 Loleta Pl,Los Angeles,90041.0,350000.0,618 - Eagle Rock,3224.438915857605,1962.9763313609467,P1-16265,34.1303209,-118.1982936,2715.0,4425.59259013512,2650.0,9.0,0.0
144,Condo/Co-op,6938 Laurel Canyon Blvd #303,North Hollywood,91605.0,499999.0,NHO - North Hollywood,920.0,2006.0,DW23223480,34.1973036,-118.3961854,3023.0,4729.825544067609,4435.0,20.0,0.0
147,Condo/Co-op,7924 Woodman Ave #16,Panorama City,91402.0,400000.0,PC - Panorama City,669.0,1971.0,GD24011501,34.214628,-118.430012,2476.0,532.065986759002,8579.0,17.0,0.0
149,Condo/Co-op,8787 Shoreham Dr Unit B1,West Hollywood,90069.0,449995.0,Sunset Strip - Hollywood Hills West,304.0,1963.0,24-348991,34.0927247,-118.3828802,5460.0,2227.92561992716,5075.0,29.0,0.0
150,Condo/Co-op,200 N San Fernando Rd #211,Los Angeles,90031.0,415000.0,Lincoln Heights,670.0,1925.0,24-348781,34.0766598,-118.222372,2679.0,1015.41889265264,615.0,21.0,6.0
153,Condo/Co-op,6904 Radford Ave,North Hollywood,91605.0,479000.0,NHO - North Hollywood,988.0,1965.0,DW24009602,34.1960279,-118.391814,2642.0,5223.44984872168,4063.0,29.0,1.0
154,Condo/Co-op,7045 Woodley Ave #111,Van Nuys,91406.0,499900.0,VN - Van Nuys,865.0,1989.0,OC24009605,34.1990358,-118.4842967,3577.0,2432.06174871359,12651.0,20.0,0.0
155,Vacant Land,1472 Avenue 57,Los Angeles,90042.0,450000.0,632 - Highland Park,3224.438915857605,1962.9763313609467,SR24009529,34.1222642,-118.2135038,1162.0,4195.94518268896,2762.0,14.0,10.0
160,Condo/Co-op,5848 5848 1/2 Willoughby Ave,Los Angeles,90038.0,495000.0,Hollywood,580.0,1962.9763313609467,24-347155,34.0869151,-118.3239786,1944.0,1287.59110073144,1982.0,26.0,21.0
163,Single Family Residential,5915 Compton Ave,Los Angeles,90001.0,499000.0,C42 - Downtown L.A.,678.0,1921.0,OC24005270,33.9866444,-118.2481069,2141.0,2696.08022040253,596.0,33.0,2.0
164,Single Family Residential,5913 Compton Ave,Los Angeles,90001.0,399000.0,C42 - Downtown L.A.,518.0,1921.0,OC24004869,33.9867067,-118.2479969,2142.0,2682.73776490866,581.0,32.0,2.0
165,Vacant Land,6710 S Western Ave,Los Angeles,90047.0,399000.0,Los Angeles Southwest,3224.438915857605,1962.9763313609467,24-346077,33.9782144,-118.308756,1105.0,5735.16217404512,2796.0,34.0,2.0
168,Mobile/Manufactured Home,16321 Pacific Coast Hwy #118,Pacific Palisades,90272.0,399999.0,Pacific Palisades,3224.438915857605,2017.0,24-342835,34.0386073,-118.5382316,280.0,5937.29295607068,6173.0,7.0,1.0
171,Single Family Residential,324 S Concord St,Los Angeles,90063.0,475000.0,BOYH - Boyle Heights,524.0,1912.0,IV24003904,34.0348849,-118.198429,2006.0,1724.44923376591,699.0,24.0,0.0
174,Single Family Residential,521 W Opp St,Wilmington,90744.0,449000.0,195 - West Wilmington,768.0,1923.0,PW23171818,33.7827225,-118.2685907,1128.0,3129.77783201629,8453.0,15.0,0.0
175,Vacant Land,3508 City Terrace Dr,City Terrace,90063.0,450000.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,IV24001791,34.0530338,-118.1883731,2880.0,1903.04334263006,2552.0,20.0,0.0
176,Condo/Co-op,14805 Chase St #221,Panorama City,91402.0,359000.0,PC - Panorama City,777.0,1976.0,GD23226429,34.2248882,-118.4557088,1351.0,608.007852022968,11607.0,18.0,2.0
180,Single Family Residential,1113 95th steet,Los Angeles,90002.0,440000.0,C36 - Metropolitan Southwest,857.0,1939.0,DW23230068,33.950445,-118.2558829,2063.0,3894.81696784554,1795.0,15.0,3.0
181,Vacant Land,3930 Barryknoll,Glassell Park,90065.0,495000.0,623 - Glassel Park,3224.438915857605,1962.9763313609467,AR23229088,34.115896,-118.2247896,1438.0,3985.9393639102896,3111.0,8.0,0.0
184,Vacant Land,2086 Hanscom Dr,South Pasadena,91031.0,350000.0,658 - So. Pasadena,3224.438915857605,1962.9763313609467,SB23229461,34.1000589,-118.1751906,998.0,3719.67824043974,2448.0,0.0,0.0
186,Condo/Co-op,10730 New Haven St #3,Sun Valley,91352.0,325000.0,SUNV - Sun Valley,634.0,1964.0,SR23228713,34.2262981,-118.3648701,4598.0,3955.5895837105695,7891.0,20.0,2.0
188,Single Family Residential,1304 Prado St,Los Angeles,90023.0,490000.0,BOYH - Boyle Heights,748.0,1924.0,RS23215918,34.0171237,-118.1939728,4205.0,887.482534446528,2315.0,20.0,0.0
190,Single Family Residential,4864 Ascot Ave,Los Angeles,90011.0,500000.0,C34 - Los Angeles Southwest,740.0,1910.0,DW23217939,33.9988114,-118.2498178,1204.0,3111.73918480191,911.0,35.0,1.0
192,Condo/Co-op,950 N Kings Rd #225,West Hollywood,90069.0,469900.0,C10 - West Hollywood Vicinity,454.0,1973.0,IV23226997,34.0884904,-118.3712751,5845.0,1975.20320634558,4043.0,30.0,3.0
196,Multi-Family,3515 Hunter St,Los Angeles,90023.0,489000.0,Boyle Heights,1325.0,1923.0,23-323947,34.0197934,-118.202244,3506.0,1769.96236312863,2247.0,31.0,0.0
197,Mobile/Manufactured Home,16321 Pacific Coast Hwy #176,Pacific Palisades,90272.0,400000.0,Pacific Palisades,3224.438915857605,1962.9763313609467,23-338807,34.0380424,-118.5388843,385.0,5988.56805301655,6195.0,7.0,1.0
201,Vacant Land,1752 N Magenta Ln,Los Angeles,90077.0,65000.0,Bel Air - Holmby Hills,3224.438915857605,1962.9763313609467,23-315467,34.10234,-118.44458,1455.0,4828.711258872049,9068.0,0.0,0.0
202,Vacant Land,3621 E Maceo St,Los Angeles,90065.0,68000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS23179757,34.0959964,-118.2206444,1722.0,3214.90668377271,1440.0,8.0,0.0
203,Vacant Land,2981 Passmore Dr,Los Angeles,90068.0,100000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,23-314331,34.125911,-118.351881,2195.0,4937.77804779866,2245.0,9.0,1.0
204,Vacant Land,3906 N Locke Ave,Los Angeles,90032.0,249990.0,621 - El Sereno,3224.438915857605,1962.9763313609467,DW23177272,34.091881,-118.178023,1055.0,3797.6361506246494,3060.0,11.0,2.0
205,Vacant Land,3912 N Locke Ave,Los Angeles,90032.0,249990.0,621 - El Sereno,3224.438915857605,1962.9763313609467,DW23177211,34.079517,-118.176629,2406.0,3634.6441965233103,4189.0,14.0,0.0
207,Vacant Land,3841 Oakfield,Sherman Oaks,91423.0,199000.0,C34 - Los Angeles Southwest,3224.438915857605,1962.9763313609467,SR23173274,34.140792,-118.447807,2795.0,2627.98860804657,8738.0,0.0,0.0
214,Condo/Co-op,10590 Wilshire Blvd Unit 2B,Los Angeles,90024.0,155000.0,Westwood - Century City,202.0,1976.0,23-311141,34.0612926,-118.43315,2830.0,1620.60383127114,3424.0,11.0,1.0
218,Vacant Land,1226 N Rowan Ave,Los Angeles,90063.0,109950.0,BOYH - Boyle Heights,3224.438915857605,1962.9763313609467,TR23169880,34.0527201,-118.1875806,2945.0,1998.05070145977,2527.0,21.0,0.0
220,Vacant Land,0 Grandview Dr,West Hollywood,90046.0,229000.0,C03 - Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,SW23163998,34.102542,-118.372874,4986.0,3653.0781353537295,3823.0,6.0,3.0
222,Vacant Land,7260 Woodrow Wilson Dr,Los Angeles,90068.0,89000.0,Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,23-307185,34.1237139,-118.3508655,2507.0,4651.89939634217,2556.0,9.0,0.0
