community,population.density,median.age,city
Midtown,41519,40.5,New York City
Midtown West,58923,39.2,New York City
Morningside Heights,74744,31.2,New York City
Murray Hill (Curry Hill),51260,38.0,New York City
NoHo (North of Houston),75159,36.9,New York City
Nolita (North of Little Italy),73193,38.0,New York City
Peter Cooper Village (Peter Cooper),54884,31.9,New York City
Seaport (South Street Seaport),80017,31.9,New York City
Soho,57643,39.7,New York City
St. Nicholas Terrace (Sugar Hill),87166,40.0,New York City
Stuyvesant Town (Stuyvesant Park),82740,33.7,New York City
Sutton Place,85011,60.5,New York City
Theatre District,14483,39.7,New York City
Tribeca,44568,36.3,New York City
Tudor City,84625,35.0,New York City
Turtle Bay,56455,43.6,New York City
Two Bridges,54840,41.9,New York City
Union Square (Flatiron),39739,35.8,New York City
Upper East Side (UES),62425,45.0,New York City
Upper West Side (UWS),101943,44.2,New York City
Uptown,84276,40.1,New York City
Wall Street (Financial District),44690,33.5,New York City
Washington Heights,116673,38.1,New York City
West Side,87484,43.3,New York City
West Village,66571,39.7,New York City
World Trade Center (WTC),43095,30.9,New York City
Yorkville,53532,40.0,New York City
